rule	support	confidence	lift
frozenset(['Proposed_Construction_Type_5.0']) ==> frozenset(['Permit_Type_Definition_otc_alterations_permit'])	0.514	0.894	0.994
frozenset(['Proposed_Construction_Type_5.0']) ==> frozenset(['Permit_Type_8'])	0.514	0.894	0.994
frozenset(['Proposed_Construction_Type_5.0']) ==> frozenset(['Permit_Type_8', 'Permit_Type_Definition_otc_alterations_permit'])	0.514	0.894	0.994
frozenset(['Existing_Construction_Type_5.0']) ==> frozenset(['Permit_Type_8'])	0.508	0.892	0.992
frozenset(['Existing_Construction_Type_5.0']) ==> frozenset(['Permit_Type_Definition_otc_alterations_permit'])	0.508	0.892	0.992
frozenset(['Existing_Construction_Type_5.0']) ==> frozenset(['Permit_Type_8', 'Permit_Type_Definition_otc_alterations_permit'])	0.508	0.892	0.992
frozenset(['Plansets_2.0']) ==> frozenset(['Permit_Type_8'])	0.397	0.804	0.894
frozenset(['Plansets_2.0']) ==> frozenset(['Permit_Type_Definition_otc_alterations_permit'])	0.397	0.804	0.894
frozenset(['Plansets_2.0']) ==> frozenset(['Permit_Type_8', 'Permit_Type_Definition_otc_alterations_permit'])	0.397	0.804	0.894
frozenset(['Proposed_Construction_Type_5.0', 'Plansets_2.0']) ==> frozenset(['Permit_Type_Definition_otc_alterations_permit'])	0.228	0.794	0.883
frozenset(['Proposed_Construction_Type_5.0', 'Plansets_2.0']) ==> frozenset(['Permit_Type_8'])	0.228	0.794	0.883
frozenset(['Existing_Construction_Type_5.0', 'Plansets_2.0']) ==> frozenset(['Permit_Type_Definition_otc_alterations_permit'])	0.223	0.793	0.882
frozenset(['Existing_Construction_Type_5.0', 'Plansets_2.0']) ==> frozenset(['Permit_Type_8'])	0.223	0.793	0.882
